DEAL_NO,PURPOSE,AMOUNT
527397,Equipment Purchase,97022.88
527398,Business Expansion,14913.0
527399,Construction,267106.71
527400,Business Expansion,22942.06
527401,Business Expansion,193379.94
527402,Equipment Purchase,4431.09
527403,Equipment Purchase,9700.04
527404,Working Capital,195968.6
527404,Business Expansion,195968.6
527405,Working Capital,2144.26
527406,Business Expansion,19187.26
527407,Business Expansion,35243.25
527407,Working Capital,35243.25
527408,Working Capital,801.63
527408,Equipment Purchase,801.62
527408,Business Expansion,801.63
527409,Debt Consolidation,24423.03
527410,Working Capital,166266.53
527410,Debt Consolidation,166266.53
527411,Business Expansion,2426.27
527412,Business Expansion,15749.0
527413,Working Capital,341963.81
527414,Vehicle Purchase,982.18
527415,Working Capital,2308.89
527416,Debt Consolidation,15003.84
527417,Debt Consolidation,262474.04
527418,Debt Consolidation,581.26
527418,Personal Consumption,581.25
527418,Working Capital,581.26
527419,Working Capital,1825.01
527420,Equipment Purchase,30600.05
527421,Working Capital,187282.19
527422,Personal Consumption,398.46
527422,Working Capital,398.45
527422,Debt Consolidation,398.46
527423,Working Capital,1551.84
527423,Debt Consolidation,1551.84
527424,Business Expansion,7555.64
527424,Working Capital,7555.65
527424,Construction,7555.64
527425,Debt Consolidation,197082.83
527426,Business Expansion,1499.47
527427,Working Capital,1817.62
527428,Working Capital,4790.89
527429,Construction,225213.19
527429,Business Expansion,225213.19
527430,Vehicle Purchase,175.8
527431,Working Capital,2560.02
527432,Business Expansion,31119.28
527433,Working Capital,38779.58
527433,Debt Consolidation,38779.59
527434,Real Estate Purchase,180.56
527435,Debt Consolidation,1214.15
527436,Working Capital,23089.76
527437,Construction,242443.69
527438,Real Estate Purchase,588.46
527439,Working Capital,4529.42
527440,Construction,23106.72
527441,Working Capital,152539.22
527441,Business Expansion,152539.22
527442,Home Purchase,336.68
527443,Equipment Purchase,4051.16
527444,Working Capital,23912.12
527445,Working Capital,61222.93
527445,Working Capital,61222.92
527446,Vehicle Purchase,18.25
527446,Working Capital,18.25
527447,Working Capital,1543.88
527448,Construction,39938.28
527449,Debt Consolidation,61495.0
527450,Business Expansion,1302.73
527451,Working Capital,2098.06
527452,Debt Consolidation,9549.59
527453,Equipment Purchase,151773.41
527453,Business Expansion,151773.4
527453,Working Capital,151773.41
527454,Vehicle Purchase,491.67
527454,Working Capital,491.66
527455,Business Expansion,2382.69
527456,Business Expansion,9055.0
527457,Equipment Purchase,317580.88
527458,Personal Consumption,376.29
527459,Business Expansion,3475.99
527460,Working Capital,42723.86
527461,Debt Consolidation,229872.78
527462,Vehicle Purchase,1185.81
527463,Business Expansion,1161.45
527463,Working Capital,1161.46
527464,Working Capital,6782.14
527465,Debt Consolidation,123236.39
527466,Vehicle Purchase,923.57
527467,Working Capital,2487.37
527468,Working Capital,9250.74
527468,Construction,9250.74
527468,Business Expansion,9250.73
527469,Equipment Purchase,423601.71
527470,Personal Consumption,740.57
527471,Working Capital,1756.21
527471,Working Capital,1756.22
527472,Working Capital,5397.8
527473,Business Expansion,196884.92
527474,Real Estate Purchase,157.2
527474,Working Capital,157.2
527475,Business Expansion,1499.23
527476,Debt Consolidation,24642.07
527477,Business Expansion,312342.2
527478,Personal Consumption,1753.8
527479,Business Expansion,3126.31
527480,Working Capital,14563.75
527480,Business Expansion,14563.75
527481,Equipment Purchase,414283.17
527482,Real Estate Purchase,1383.61
527483,Working Capital,2308.03
527484,Business Expansion,16801.06
527485,Working Capital,201450.77
527486,Working Capital,940.46
527487,Business Expansion,2662.88
527488,Working Capital,12403.17
527489,Construction,67343.65
527490,Equipment Purchase,637.59
527491,Business Expansion,2555.55
527492,Business Expansion,46082.49
527493,Working Capital,189469.25
527494,Working Capital,53.51
527494,Real Estate Purchase,53.51
527495,Business Expansion,3841.1
527496,Business Expansion,26168.27
527497,Business Expansion,175236.57
527498,Vehicle Purchase,1488.52
527499,Business Expansion,4408.64
527500,Working Capital,10903.59
527501,Working Capital,51793.88
527501,Business Expansion,51793.88
527501,Equipment Purchase,51793.87
527502,Real Estate Purchase,1046.85
527503,Working Capital,3521.82
527504,Debt Consolidation,32894.68
527505,Construction,395930.52
527506,Working Capital,572.94
527506,Business Expansion,572.94
527506,Equipment Purchase,572.95
527507,Equipment Purchase,2930.49
527508,Equipment Purchase,40469.23
527509,Business Expansion,210864.74
527510,Equipment Purchase,474.96
527511,Equipment Purchase,1424.35
527511,Working Capital,1424.36
527511,Business Expansion,1424.35
527512,Business Expansion,47199.27
527513,Construction,145604.11
527513,Business Expansion,145604.11
527513,Working Capital,145604.11
527514,Working Capital,892.08
527515,Working Capital,3177.18
527516,Equipment Purchase,38919.68
527517,Equipment Purchase,242197.5
527518,Real Estate Purchase,240.33
527519,Working Capital,2053.09
527520,Debt Consolidation,16321.57
527521,Working Capital,243861.63
527522,Personal Consumption,796.37
527523,Business Expansion,3187.3
527524,Business Expansion,11608.72
527525,Business Expansion,317365.82
527526,Vehicle Purchase,1227.73
527527,Working Capital,2062.7
527528,Debt Consolidation,35301.2
527529,Business Expansion,439375.14
527530,Real Estate Purchase,210.46
527531,Equipment Purchase,4316.26
527532,Construction,34457.32
527533,Business Expansion,400410.6
527534,Personal Consumption,111.14
527535,Business Expansion,2298.13
527536,Working Capital,45448.71
527537,Debt Consolidation,109302.31
527538,Real Estate Purchase,757.11
527539,Business Expansion,4140.62
527540,Debt Consolidation,45675.68
527541,Construction,69950.43
527541,Working Capital,69950.43
527541,Business Expansion,69950.44
527542,Debt Consolidation,34.72
527543,Debt Consolidation,3174.63
527544,Working Capital,9029.86
527545,Business Expansion,294056.96
527546,Vehicle Purchase,1554.07
527547,Debt Consolidation,2492.03
527548,Construction,8397.08
527549,Business Expansion,69976.55
527550,Working Capital,1368.45
527551,Working Capital,2840.79
527552,Debt Consolidation,19735.24
527553,Equipment Purchase,140439.79
527553,Business Expansion,140439.78
527553,Working Capital,140439.79
527554,Vehicle Purchase,1102.67
527555,Equipment Purchase,1535.28
527555,Working Capital,1535.27
527556,Working Capital,12660.31
527556,Working Capital,12660.3
527557,Business Expansion,303518.68
527558,Debt Consolidation,335.9
527559,Business Expansion,4190.39
527560,Business Expansion,42374.03
527561,Working Capital,168374.42
527561,Debt Consolidation,168374.42
527562,Vehicle Purchase,1151.06
527563,Equipment Purchase,1407.43
527563,Business Expansion,1407.42
527563,Working Capital,1407.43
527564,Equipment Purchase,32315.83
527565,Equipment Purchase,92175.28
527566,Equipment Purchase,98.67
527567,Business Expansion,1716.58
527568,Construction,18243.67
527569,Business Expansion,262313.52
527570,Real Estate Purchase,1775.7
527571,Construction,2506.11
527572,Working Capital,36063.8
527573,Business Expansion,192031.19
527573,Construction,192031.19
527574,Real Estate Purchase,13.39
527574,Home Purchase,13.39
527574,Working Capital,13.4
527575,Equipment Purchase,2856.3
527576,Equipment Purchase,18823.45
527577,Business Expansion,251012.73
527578,Real Estate Purchase,86.71
527579,Construction,1932.03
527579,Working Capital,1932.02
527580,Working Capital,19344.17
527580,Business Expansion,19344.17
527581,Debt Consolidation,364710.79
527582,Working Capital,844.96
527582,Real Estate Purchase,844.95
527583,Equipment Purchase,3897.72
527584,Construction,8946.01
527585,Working Capital,285965.91
527586,Home Purchase,1627.31
527587,Working Capital,1325.3
527587,Debt Consolidation,1325.3
527588,Equipment Purchase,17417.89
527589,Equipment Purchase,136943.81
527590,Debt Consolidation,1419.44
527591,Working Capital,4315.69
527592,Equipment Purchase,9996.8
527592,Working Capital,9996.79
527593,Business Expansion,133010.14
527593,Working Capital,133010.14
527593,Construction,133010.15
527594,Home Purchase,565.03
527594,Real Estate Purchase,565.03
527595,Working Capital,1044.98
527595,Working Capital,1044.98
527596,Working Capital,10123.05
527596,Equipment Purchase,10123.05
527596,Business Expansion,10123.05
527597,Equipment Purchase,142616.55
527597,Business Expansion,142616.55
527598,Vehicle Purchase,509.14
527599,Construction,4061.06
527600,Construction,5757.38
527601,Construction,203809.3
527601,Working Capital,203809.29
527602,Debt Consolidation,218.98
527603,Business Expansion,3692.04
527604,Equipment Purchase,23522.42
527605,Business Expansion,274028.12
527606,Working Capital,439.61
527607,Equipment Purchase,3300.51
527608,Equipment Purchase,32527.1
527609,Debt Consolidation,285538.1
527610,Debt Consolidation,1062.41
527611,Business Expansion,1423.58
527611,Construction,1423.57
527612,Construction,8508.81
527612,Business Expansion,8508.81
527612,Working Capital,8508.8
527613,Working Capital,194394.73
527613,Equipment Purchase,194394.74
527614,Business Expansion,1794.0
527615,Construction,3904.57
527616,Equipment Purchase,16539.46
527617,Working Capital,299113.52
527618,Debt Consolidation,880.11
527619,Business Expansion,1144.97
527619,Working Capital,1144.97
527619,Equipment Purchase,1144.98
527620,Business Expansion,32606.12
527621,Working Capital,66065.12
527622,Debt Consolidation,1621.48
527623,Working Capital,4266.23
527624,Business Expansion,36067.35
527625,Business Expansion,238128.59
527626,Vehicle Purchase,254.48
527627,Working Capital,937.9
527627,Business Expansion,937.91
527628,Business Expansion,8669.69
527629,Construction,411239.17
527630,Working Capital,674.8
527631,Business Expansion,3683.07
527632,Working Capital,8350.5
527632,Business Expansion,8350.5
527633,Working Capital,82365.2
527634,Debt Consolidation,1835.66
527635,Equipment Purchase,4470.53
527636,Debt Consolidation,5403.49
527637,Business Expansion,162082.4
527637,Working Capital,162082.41
527638,Vehicle Purchase,353.6
527638,Working Capital,353.6
527639,Equipment Purchase,3953.85
527640,Working Capital,26938.39
527641,Debt Consolidation,290363.67
527642,Equipment Purchase,768.49
527643,Business Expansion,2919.31
527644,Business Expansion,20115.24
527644,Working Capital,20115.25
527645,Business Expansion,102323.31
527646,Vehicle Purchase,1211.96
527647,Equipment Purchase,1773.95
527647,Working Capital,1773.96
527648,Business Expansion,12297.9
527648,Working Capital,12297.89
527649,Debt Consolidation,161995.34
527650,Home Purchase,486.96
527650,Working Capital,486.96
527650,Real Estate Purchase,486.96
527651,Debt Consolidation,1954.39
527652,Business Expansion,39644.76
527653,Equipment Purchase,233881.94
527654,Home Purchase,1565.5
527655,Business Expansion,2772.2
527656,Working Capital,17393.88
527657,Working Capital,143097.64
527657,Working Capital,143097.65
527658,Real Estate Purchase,832.88
527659,Equipment Purchase,2874.76
527660,Working Capital,27371.8
527661,Equipment Purchase,310702.46
527662,Vehicle Purchase,279.64
527662,Working Capital,279.65
527663,Working Capital,2424.15
527664,Business Expansion,33853.12
527665,Equipment Purchase,247537.98
527666,Vehicle Purchase,989.23
527667,Construction,4089.82
527668,Working Capital,14650.28
527668,Debt Consolidation,14650.29
527669,Equipment Purchase,343749.89
527670,Working Capital,213962.32
527670,Construction,213962.32
527671,Equipment Purchase,11091.23
527672,Business Expansion,40926.42
527673,Equipment Purchase,233613.6
527674,Equipment Purchase,94698.62
527675,Refinance,4501.74
527676,Refinance,16280.56
527677,Refinance,1614.11
527677,Refinance,1614.11
527678,Refinance,1975.84
527679,Refinance,4329.41
527680,Refinance,2391.74
527681,Refinance,1489.34
527681,Refinance,1489.33
527682,Refinance,2333.27
527683,Refinance,41533.36
527683,Refinance,41533.37
527684,Refinance,754.87
527684,Refinance,754.88
527684,Refinance,754.87
527685,Refinance,17856.53
527686,Refinance,3925.93
527687,Refinance,72239.42
527688,Refinance,2401.11
527689,Refinance,1487.63
527690,Refinance,3211.12
527691,Refinance,430095.61
527692,Refinance,2012.76
527693,Refinance,19807.16
527694,Refinance,17081.81
527694,Refinance,17081.81
527695,Refinance,161084.96
527696,Refinance,122704.34
527697,Refinance,3007.46
527698,Refinance,2796.09
527699,Refinance,4497.55
527700,Refinance,2623.22
527701,Refinance,318555.76
527702,Refinance,226262.42
527703,Refinance,258501.42
527704,Refinance,338329.76
527705,Refinance,6310.62
527705,Refinance,6310.61
527705,Refinance,6310.62
527706,Refinance,3163.57
527707,Refinance,90512.66
527708,Refinance,13765.29
527708,Refinance,13765.28
527708,Refinance,13765.29
527709,Refinance,221824.02
527710,Refinance,393871.45
527711,Refinance,250736.22
527712,Refinance,15523.82
527713,Refinance,176700.45
527713,Refinance,176700.46
527714,Refinance,29488.88
527715,Refinance,70197.32
527715,Refinance,70197.33
527716,Refinance,3560.77
527717,Refinance,307677.28
527718,Refinance,111732.45
527719,Refinance,1224.08
527719,Refinance,1224.08
527720,Refinance,5336.77
527720,Refinance,5336.77
527721,Refinance,291837.77
527722,Refinance,2089.03
527723,Refinance,11379.7
527724,Refinance,161992.85
527725,Refinance,41206.58
527726,Refinance,7807.0
527726,Refinance,7807.0
527726,Refinance,7807.0
527727,Refinance,2099.7
527728,Refinance,17172.12
527729,Refinance,77051.29
527730,Refinance,10012.98
527730,Refinance,10012.97
527731,Refinance,41403.82
527732,Refinance,4258.99
527733,Refinance,82141.02
527734,Refinance,305046.99
527735,Refinance,407482.24
527736,Refinance,1986.81
527736,Refinance,1986.8
527737,Refinance,3111.31
527738,Refinance,14603.04
527738,Refinance,14603.04
527738,Refinance,14603.05
527739,Refinance,8319.65
527740,Refinance,6413.59
527740,Refinance,6413.59
527740,Refinance,6413.59
527741,Refinance,308029.46
527742,Refinance,3637.3
527743,Refinance,37855.8
527744,Refinance,4130.94
527745,Refinance,2540.94
527746,Refinance,274466.86
527747,Refinance,10459.56
527748,Refinance,2187.66
527749,Refinance,2721.86
527750,Refinance,242766.14
527750,Refinance,242766.15
527751,Refinance,28691.24
527752,Refinance,15579.05
527752,Refinance,15579.05
527753,Refinance,18420.42
527754,Refinance,2643.23
527755,Business Expansion,1665.81
527755,Construction,1665.81
527756,Debt Consolidation,971.59
527756,Working Capital,971.59
527757,Debt Consolidation,2521.6
527758,Debt Consolidation,1348.11
527759,Working Capital,1735.29
527760,Working Capital,4044.72
527761,Business Expansion,3008.99
527762,Construction,2599.9
527763,Construction,1107.63
527763,Business Expansion,1107.63
527763,Working Capital,1107.64
527764,Working Capital,1317.11
527764,Construction,1317.11
527764,Business Expansion,1317.11
527765,Business Expansion,4181.41
527766,Debt Consolidation,1671.78
527767,Debt Consolidation,3635.99
527768,Equipment Purchase,2675.09
527769,Business Expansion,1618.42
527769,Equipment Purchase,1618.42
527770,Business Expansion,3108.22
527771,Business Expansion,4581.84
527772,Business Expansion,2558.89
527773,Business Expansion,3202.84
527774,Working Capital,20735.6
527775,Equipment Purchase,1857.9
527775,Business Expansion,1857.9
527776,Construction,25804.78
527777,Equipment Purchase,2622.34
527778,Business Expansion,11268.19
527779,Business Expansion,3850.1
527780,Equipment Purchase,17065.08
527781,Construction,3278.53
527782,Business Expansion,26715.71
527783,Working Capital,742.93
527783,Construction,742.93
527783,Business Expansion,742.92
527784,Debt Consolidation,4628.54
527784,Working Capital,4628.54
527785,Working Capital,2982.46
527786,Working Capital,4559.08
527787,Business Expansion,4123.46
527788,Business Expansion,10825.07
527789,Debt Consolidation,2049.12
527790,Business Expansion,45018.35
527791,Working Capital,1322.99
527791,Debt Consolidation,1322.99
527792,Working Capital,5126.02
527793,Business Expansion,151203.54
527793,Working Capital,151203.53
527794,Business Expansion,1445.49
527794,Equipment Purchase,1445.49
527794,Working Capital,1445.5
527795,Business Expansion,11027.21
527796,Business Expansion,149408.38
527797,Working Capital,3763.76
527798,Working Capital,21826.58
527799,Working Capital,357684.47
527800,Construction,1120.8
527800,Working Capital,1120.8
527800,Business Expansion,1120.79
527801,Working Capital,34847.86
527802,Working Capital,115466.52
527803,Working Capital,2398.24
527804,Business Expansion,6954.68
527804,Equipment Purchase,6954.67
527804,Working Capital,6954.68
527805,Equipment Purchase,225574.94
527806,Working Capital,1697.7
527806,Business Expansion,1697.71
527807,Working Capital,13207.26
527807,Business Expansion,13207.25
527807,Construction,13207.26
527808,Business Expansion,102569.46
527809,Debt Consolidation,4180.32
527810,Business Expansion,20265.08
527811,Working Capital,358763.96
527812,Real Estate Purchase,1427.42
527813,Business Expansion,2592.04
527814,Equipment Purchase,17315.48
527815,Construction,158663.99
527816,Personal Consumption,872.14
527817,Business Expansion,2639.86
527818,Working Capital,22900.23
527818,Business Expansion,22900.23
527819,Working Capital,323517.17
527820,Home Purchase,353.48
527821,Debt Consolidation,4508.81
527822,Working Capital,26548.59
527823,Business Expansion,59803.15
527824,Debt Consolidation,1750.45
527825,Equipment Purchase,4215.31
527826,Working Capital,15435.92
527826,Business Expansion,15435.92
527827,Working Capital,419132.21
527828,Working Capital,389.65
527828,Working Capital,389.66
527829,Working Capital,2058.45
527830,Equipment Purchase,23642.42
527831,Working Capital,132685.49
527832,Personal Consumption,838.02
527833,Equipment Purchase,3743.1
527834,Equipment Purchase,21429.69
527835,Business Expansion,367037.58
527836,Vehicle Purchase,633.41
527837,Equipment Purchase,901.67
527837,Business Expansion,901.66
527837,Working Capital,901.67
527838,Working Capital,3846.23
527839,Debt Consolidation,159771.68
527840,Working Capital,808.35
527840,Debt Consolidation,808.34
527841,Construction,1733.66
527841,Working Capital,1733.66
527842,Working Capital,21026.7
527843,Equipment Purchase,385571.49
527844,Real Estate Purchase,547.41
527845,Business Expansion,4065.41
527846,Working Capital,31820.18
527847,Business Expansion,274297.18
527848,Vehicle Purchase,812.77
527849,Business Expansion,2726.2
527850,Working Capital,28068.41
527851,Debt Consolidation,124190.09
527852,Personal Consumption,787.94
527853,Equipment Purchase,1191.87
527853,Business Expansion,1191.87
527854,Construction,18849.9
527855,Debt Consolidation,347576.8
527856,Vehicle Purchase,730.76
527857,Working Capital,1659.07
527858,Construction,36395.82
527859,Business Expansion,464544.35
527860,Vehicle Purchase,421.47
527861,Business Expansion,4203.37
527862,Equipment Purchase,10796.95
527863,Business Expansion,127787.41
527863,Construction,127787.41
527863,Working Capital,127787.41
527864,Personal Consumption,452.37
527865,Business Expansion,4613.94
527866,Construction,30167.86
527867,Debt Consolidation,121695.0
527868,Debt Consolidation,136.56
527868,Personal Consumption,136.56
527868,Working Capital,136.56
527869,Business Expansion,1395.46
527869,Working Capital,1395.47
527870,Working Capital,27472.3
527871,Business Expansion,90036.08
527872,Debt Consolidation,1543.92
527873,Working Capital,3220.45
527874,Working Capital,6184.41
527875,Debt Consolidation,92092.09
527875,Working Capital,92092.08
527876,Real Estate Purchase,488.98
527877,Debt Consolidation,2643.26
527878,Business Expansion,22635.15
527879,Business Expansion,215878.29
527880,Home Purchase,799.74
527881,Equipment Purchase,895.49
527881,Working Capital,895.49
527881,Working Capital,895.48
527882,Business Expansion,17667.63
527882,Working Capital,17667.64
527883,Business Expansion,88073.64
527884,Vehicle Purchase,458.9
527885,Business Expansion,2885.29
527886,Business Expansion,12256.94
527887,Working Capital,235848.39
527888,Vehicle Purchase,622.69
527889,Construction,3249.1
527890,Business Expansion,13911.92
527891,Business Expansion,245042.08
527892,Business Expansion,405.24
527893,Business Expansion,4312.54
527894,Working Capital,28944.7
527895,Working Capital,251753.38
527896,Equipment Purchase,1192.32
527897,Business Expansion,3703.74
527898,Working Capital,17617.14
527899,Business Expansion,220028.6
527900,Home Purchase,554.09
527900,Working Capital,554.09
527900,Real Estate Purchase,554.09
527901,Equipment Purchase,3860.24
527902,Business Expansion,14084.23
527903,Working Capital,336865.4
527904,Personal Consumption,1607.34
527905,Business Expansion,2470.13
527906,Debt Consolidation,15136.94
527907,Business Expansion,130868.98
527908,Debt Consolidation,522.68
527909,Debt Consolidation,2445.75
527910,Debt Consolidation,19550.34
527911,Working Capital,64725.26
527912,Real Estate Purchase,797.95
527913,Working Capital,1076.81
527913,Business Expansion,1076.81
527913,Working Capital,1076.8
527914,Working Capital,24745.61
527915,Equipment Purchase,378774.46
527916,Debt Consolidation,918.34
527917,Business Expansion,3280.2
527918,Debt Consolidation,12869.35
527918,Working Capital,12869.35
527919,Business Expansion,402760.61
527920,Vehicle Purchase,297.8
527921,Working Capital,3629.01
527922,Working Capital,40188.44
527923,Working Capital,318428.64
527924,Working Capital,1576.09
527925,Business Expansion,3642.38
527926,Business Expansion,27494.2
527927,Working Capital,136690.64
527928,Personal Consumption,295.36
527928,Debt Consolidation,295.36
527929,Business Expansion,1912.43
527930,Working Capital,5850.01
527931,Debt Consolidation,245558.83
527932,Working Capital,71.81
527932,Vehicle Purchase,71.8
527933,Working Capital,876.42
527933,Business Expansion,876.43
527934,Equipment Purchase,11884.32
527935,Debt Consolidation,300841.61
527936,Home Purchase,557.77
527937,Business Expansion,3675.66
527938,Business Expansion,19308.57
527939,Construction,135800.32
527940,Home Purchase,983.19
527941,Business Expansion,1567.54
527941,Working Capital,1567.53
527942,Business Expansion,12731.34
527942,Working Capital,12731.34
527943,Equipment Purchase,422990.94
527944,Working Capital,861.45
527944,Vehicle Purchase,861.44
527945,Business Expansion,2155.48
527946,Construction,28976.11
527947,Business Expansion,98178.86
527947,Working Capital,98178.86
527948,Real Estate Purchase,953.74
527949,Debt Consolidation,1469.95
527949,Working Capital,1469.95
527950,Business Expansion,30154.31
527951,Equipment Purchase,395358.87
527952,Vehicle Purchase,875.0
527953,Business Expansion,3287.4
527954,Working Capital,12988.66
527954,Debt Consolidation,12988.65
527955,Business Expansion,409915.75
527956,Vehicle Purchase,1113.83
527957,Business Expansion,3136.05
527958,Business Expansion,18821.14
527959,Working Capital,164220.9
527960,Business Expansion,240.49
527960,Working Capital,240.49
527960,Equipment Purchase,240.48
527961,Equipment Purchase,4358.33
527962,Business Expansion,5181.65
527963,Business Expansion,235159.7
527963,Working Capital,235159.7
527964,Vehicle Purchase,872.39
527964,Working Capital,872.4
527965,Construction,2168.24
527966,Debt Consolidation,30016.51
527967,Debt Consolidation,44119.51
527968,Business Expansion,807.27
527969,Working Capital,1064.92
527969,Working Capital,1064.93
527970,Business Expansion,37479.72
527971,Business Expansion,339052.97
527972,Personal Consumption,469.83
527972,Working Capital,469.83
527973,Working Capital,3960.45
527974,Working Capital,12002.38
527974,Business Expansion,12002.38
527975,Working Capital,246171.64
527976,Vehicle Purchase,368.43
527977,Equipment Purchase,3615.91
527978,Equipment Purchase,11243.53
527979,Business Expansion,426761.47
527980,Personal Consumption,592.24
527981,Equipment Purchase,2833.0
527982,Equipment Purchase,10323.11
527983,Construction,85611.24
527984,Vehicle Purchase,331.99
527984,Working Capital,331.98
527985,Working Capital,4384.74
527986,Working Capital,19021.57
527987,Working Capital,49677.54
527988,Equipment Purchase,1310.37
527989,Working Capital,3704.7
527990,Business Expansion,25082.39
527991,Working Capital,261060.42
527992,Personal Consumption,410.17
527993,Working Capital,2205.28
527994,Business Expansion,25697.04
527995,Business Expansion,309735.32
527996,Home Purchase,1472.13
527997,Business Expansion,1947.96
527997,Construction,1947.96
527998,Business Expansion,1932.74
527998,Working Capital,1932.75
527999,Business Expansion,196114.92
528000,Vehicle Purchase,1266.11
528001,Construction,3026.51
528002,Equipment Purchase,6595.62
528003,Working Capital,138590.55
528003,Working Capital,138590.54
528004,Debt Consolidation,769.22
528005,Business Expansion,4312.18
528006,Equipment Purchase,21068.18
528007,Working Capital,102403.07
528007,Working Capital,102403.07
528008,Home Purchase,638.46
528009,Debt Consolidation,3116.61
528010,Debt Consolidation,22580.54
528011,Business Expansion,347185.48
528012,Personal Consumption,1556.37
528013,Business Expansion,3636.78
528014,Debt Consolidation,39360.06
528015,Equipment Purchase,214736.2
528016,Personal Consumption,988.45
528017,Debt Consolidation,4072.72
528018,Debt Consolidation,24213.14
528019,Working Capital,361338.81
528020,Vehicle Purchase,928.19
528021,Business Expansion,1097.69
528021,Working Capital,1097.69
528021,Equipment Purchase,1097.7
528022,Construction,18272.24
528022,Working Capital,18272.23
528023,Equipment Purchase,65535.89
528024,Working Capital,689.38
528024,Vehicle Purchase,689.37
528025,Debt Consolidation,2789.97
528026,Working Capital,38216.18
528027,Business Expansion,42499.04
528027,Working Capital,42499.05
528028,Business Expansion,1520.46
528029,Business Expansion,4029.46
528030,Working Capital,38311.81
528031,Debt Consolidation,427979.04
528032,Real Estate Purchase,1138.56
528033,Equipment Purchase,3919.85
528034,Debt Consolidation,29441.38
528035,Business Expansion,414142.85
528036,Vehicle Purchase,1866.49
528037,Business Expansion,2776.13
528038,Equipment Purchase,7831.67
528039,Debt Consolidation,396963.71
528040,Vehicle Purchase,705.33
528041,Working Capital,1556.9
528042,Working Capital,13144.13
528043,Equipment Purchase,166999.78
528044,Business Expansion,1603.73
528045,Business Expansion,2172.81
528045,Working Capital,2172.81
528046,Business Expansion,39883.18
528047,Working Capital,165338.63
528048,Home Purchase,548.58
528049,Working Capital,3929.98
528050,Business Expansion,40936.8
528051,Debt Consolidation,139750.09
528052,Working Capital,840.08
528053,Working Capital,4138.19
528054,Business Expansion,10087.96
528055,Business Expansion,453853.19
528056,Working Capital,52625.32
528056,Business Expansion,52625.33
528057,Working Capital,114296.27
528057,Working Capital,114296.28
528058,Business Expansion,5332.1
528058,Working Capital,5332.1
528059,Working Capital,262669.48
528060,Construction,257035.51
528061,Refinance,3852.61
528062,Refinance,3669.76
528063,Refinance,3638.12
528064,Refinance,37385.09
528065,Refinance,306883.4
528066,Refinance,38678.29
528067,Refinance,33857.42
528068,Refinance,23226.72
528069,Refinance,275336.78
528070,Refinance,321226.31
528071,Refinance,339424.13
528072,Refinance,115229.67
528073,Refinance,187592.62
528074,Refinance,271952.39
528075,Refinance,203804.5
528076,Refinance,1124.33
528076,Refinance,1124.32
528077,Refinance,429359.82
528078,Refinance,979.7
528078,Refinance,979.69
528079,Refinance,11375.17
528080,Refinance,407974.38
528081,Refinance,32410.36
528081,Refinance,32410.36
528082,Refinance,26370.49
528083,Refinance,2925.21
528084,Refinance,8248.17
528085,Refinance,441864.3
528086,Refinance,4271.62
528087,Refinance,5703.87
528088,Refinance,1951.43
528088,Refinance,1951.44
528089,Refinance,6139.38
528090,Refinance,8325.17
528090,Refinance,8325.18
528091,Refinance,1208.61
528091,Refinance,1208.61
528091,Refinance,1208.61
528092,Refinance,3600.62
528093,Refinance,3468.99
528094,Refinance,2456.09
528095,Refinance,311737.33
528096,Refinance,31052.0
528097,Refinance,20156.39
528098,Refinance,3272.17
528099,Refinance,1472.45
528100,Refinance,1103.91
528100,Refinance,1103.91
528101,Refinance,323343.53
528102,Refinance,94147.09
528103,Refinance,304481.74
528104,Refinance,2051.64
528105,Refinance,8952.47
528106,Refinance,3325.97
528107,Refinance,35456.47
528108,Refinance,234757.57
528109,Refinance,1535.01
528110,Refinance,4136.21
528111,Refinance,3493.42
528112,Refinance,1492.03
528112,Refinance,1492.03
528112,Refinance,1492.02
528113,Refinance,3672.1
528114,Refinance,25070.58
528115,Refinance,118673.33
528116,Refinance,4558.43
528117,Refinance,156272.23
528117,Refinance,156272.23
528118,Refinance,4149.78
528119,Refinance,2562.76
528120,Refinance,1079.26
528120,Refinance,1079.26
528121,Refinance,451081.74
528122,Refinance,2280.62
528123,Refinance,26381.01
528124,Refinance,113656.08
528125,Refinance,30893.49
528126,Refinance,5937.68
528126,Refinance,5937.68
528126,Refinance,5937.68
528127,Refinance,2736.84
528128,Refinance,23732.31
528129,Refinance,33753.21
528130,Refinance,456358.56
528131,Refinance,19446.51
528132,Refinance,417205.05
528133,Refinance,157394.46
528134,Refinance,1647.03
528135,Refinance,404475.12
528136,Refinance,168785.62
528137,Refinance,175989.59
528138,Refinance,1221.21
528138,Refinance,1221.21
528139,Refinance,4152.09
528140,Refinance,23933.72
528141,Working Capital,25593.0
528142,Construction,9299.15
528143,Business Expansion,17280.21
528143,Working Capital,17280.21
528144,Business Expansion,24053.69
528145,Working Capital,13335.27
528145,Working Capital,13335.28
528146,Working Capital,22151.28
528147,Working Capital,28363.59
528148,Equipment Purchase,11007.78
528149,Working Capital,8136.7
528149,Business Expansion,8136.71
528150,Working Capital,570.53
528150,Vehicle Purchase,570.53
528151,Debt Consolidation,19544.51
528152,Debt Consolidation,1198.16
528153,Equipment Purchase,8219.43
528154,Vehicle Purchase,1168.85
528155,Equipment Purchase,2169.41
528156,Business Expansion,21982.6
